entry,month,day,year,year_day,date,high_temp_F,low_temp_F,relative_humidity,soil_temp_F,wind_speed_mph,solar_langley,precip_in,ET_in,location
1,1,1,2017,1,1/1/17,39.906,17.74,71.095,30.14,6.4,89.579,0,0.045,Memphis
2,1,2,2017,2,1/2/17,36.489,28.56,92.363,31.897,7.683,22.544,0,0.009,Memphis
3,1,3,2017,3,1/3/17,28.744,7.556,70.882,30.385,15.038,158.131,0,0.057,Memphis
4,1,4,2017,4,1/4/17,12.182,5.306,71.998,26.773,7.935,95.462,0,0.021,Memphis
5,1,5,2017,5,1/5/17,10.724,-6.34,81.069,27.737,6.836,180.826,0,0.015,Memphis
6,1,6,2017,6,1/6/17,15.836,-9.832,77.086,25.456,4.873,211.303,0,0.02,Memphis
7,1,7,2017,7,1/7/17,19.492,-1.156,79.908,25.418,5.895,210.268,0,0.022,Memphis
8,1,8,2017,8,1/8/17,30.452,-1.534,81.902,25.994,8.53,150.215,0,0.046,Memphis
9,1,9,2017,9,1/9/17,32.36,11.39,80.13,27.909,7.499,140.583,0,0.036,Memphis
10,1,10,2017,10,1/10/17,34.354,23.092,80.381,30.153,9.413,190.48,0,0.039,Memphis
11,1,11,2017,11,1/11/17,33.087,11.39,78.946,28.462,13.719,153.41,0,0.053,Memphis
12,1,12,2017,12,1/12/17,20.955,9.806,70.534,25.29,8.389,122.993,0,0.033,Memphis
13,1,13,2017,13,1/13/17,25.227,13.226,58.76,26.362,6.627,132.603,0,0.043,Memphis
14,1,14,2017,14,1/14/17,37.636,13.766,60.023,28.319,2.645,186.254,0,0.038,Memphis
15,1,15,2017,15,1/15/17,33.622,28.035,80.176,30.548,4.308,42.726,0.257,0.018,Memphis
16,1,16,2017,16,1/16/17,32.646,30.945,99.98,31.624,7.681,34.073,0.355,0,Memphis
17,1,17,2017,17,1/17/17,35.94,24.251,90.519,31.868,7.367,182.969,0,0.022,Memphis
18,1,18,2017,18,1/18/17,50.666,25.288,87.162,32.026,6.048,220.449,0,0.044,Memphis
